จังหวัด,อำเภอ,ปี,รายการข้อมูล,ประเภทภาษี,รายได้,หน่วยนับ,หน่วยงานเจ้าของข้อมูล
สกลนคร,นิคมน้ำอูน,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,13.970,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,3.810,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,บ้านม่วง,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,7.390,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,อากาศอำนวย,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,8.810,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,สว่างแดนดิน,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,25.860,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ส่องดาว,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,3.220,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เต่างอย,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,2.750,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โคกศรีสุพรรณ,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,4.250,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เจริญศิลป์,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,5.460,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,โพนนาแก้ว,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,3.100,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,ภูพาน,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,บุคคลธรรมดา,6.700,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,เมืองสกลนคร,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,89.150,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุสุมาลย์,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,1.780,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,กุดบาก,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พรรณานิคม,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,5.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,พังโคน,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,12.350,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วาริชภูมิ,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,3.910,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,นิคมน้ำอูน,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,0.000,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,วานรนิวาส,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,12.800,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
สกลนคร,คำตากล้า,2566, รายได้จากการจัดเก็บเงินภาษีของกรมสรรพากร,นิติบุคคล,3.440,ล้านบาท,สำนักงานสรรพากรพื้นที่สกลนคร
